+91 9828053086,North Indian,250,"Langar Khaana, Dargah Sharif, Boraj Kazipura, Ajmer","26.4566510933,74.6286946535","{'Mon': '7am – 11pm', 'Tue': '7am – 11pm', 'Wed': '7am – 11pm', 'Thu': '7am – 11pm', 'Fri': '7am – 11pm', 'Sat': '7am – 11pm', 'Sun': '7am – 11pm'}",False,False,False,
+91 7378326698,"Beverages, Desserts, Ice Cream",400,"Shop G3, Ganesh Krupa Apartments, FC Road, FC Road, Pune","18.5206799298,73.8410029560","{'Mon': '11am – 11pm', 'Tue': '11am – 11pm', 'Wed': '11am – 11pm', 'Thu': '11am – 11pm', 'Fri': '11am – 11pm', 'Sat': '11am – 11pm', 'Sun': '11am – 11pm'}",False,False,False,"Kit Kat Shake , Thick Shakes"
Not Available,Chinese,250,"Laden la Road, Chauk Bazaar, Darjeeling","27.0397220420,88.2653262466","{'Mon': '7:30am – 9:30pm', 'Tue': '7:30am – 9:30pm', 'Wed': '7:30am – 9:30pm', 'Thu': '7:30am – 9:30pm', 'Fri': '7:30am – 9:30pm', 'Sat': '7:30am – 9:30pm', 'Sun': '7:30am – 9:30pm'}",False,False,False,
033 66660000,"Bakery, Desserts",300,"Vivanta By Taj, 1930, Rajdanga Main Road, Kasba, Kolkata","22.5133349851,88.4001109377","{'Mon': '9am – 9pm', 'Tue': '9am – 9pm', 'Wed': '9am – 9pm', 'Thu': '9am – 9pm', 'Fri': '9am – 9pm', 'Sat': '9am – 9pm', 'Sun': '9am – 9pm'}",False,False,False,"Brownie , Tea , Chocolate Cake"
+91 9497721471,"South Indian, North Indian, Continental, Chinese",500,"66/4509 (40/9640), Ernakulam Circle, M G Road, Kacheripady, Kochi","9.9841110000,76.2831830000","{'Mon': '11am – 11pm', 'Tue': '11am – 11pm', 'Wed': '11am – 11pm', 'Thu': '11am – 11pm', 'Fri': '11am – 11pm', 'Sat': '11am – 11pm', 'Sun': '11am – 11pm'}",True,False,False,
Not Available,"Burger, Fast Food, Beverages, Cafe, Desserts",500,"532, Kadamba Kudpi House, Linking Road, Bandra West, Mumbai","19.0659176833,72.8342475370","{'Mon': '7am – 1am', 'Tue': '7am – 1am', 'Wed': '7am – 1am', 'Thu': '7am – 1am', 'Fri': '7am – 1am', 'Sat': '7am – 1am', 'Sun': '7am – 1am'}",True,False,True,
0821 7101234,South Indian,800,"Radisson Blu Plaza Hotel, 1, MG Road, Ittige Gudu, Chamrajpura, Mysore","12.2983425904,76.6649476066","{'Mon': '7pm – 11pm', 'Tue': '7pm – 11pm', 'Wed': '7pm – 11pm', 'Thu': '7pm – 11pm', 'Fri': '7pm – 11pm', 'Sat': '12:30pm – 3pm, 7pm – 11pm', 'Sun': '12:30pm – 3pm, 7pm – 11pm'}",False,False,False,"Thali , Appam , Coffee Ice Cream , Vada Curry , Vegetable Stew"
+91 9505804000 +91 9866804000,"Desserts, Beverages",200,"8-2-248/B/1/1, Road 3, Near Nagarjuna Circle, Banjara Hills, Hyderabad","17.4261450266,78.4486216307","{'Mon': '11am – 12midnight', 'Tue': '11am – 11:58pm', 'Wed': '11am – 12midnight', 'Thu': '11am – 12midnight', 'Fri': '11am – 12midnight', 'Sat': '11am – 12midnight', 'Sun': '11am – 12midnight'}",True,False,False,
+91 7665345555,"Chinese, Thai",400,"Opp. HDFC Bank, Vaishali Nagar, Ajmer, Ajmer, Ajmer","26.4872555302,74.6298623561","{'Mon': '11am – 11pm', 'Tue': '11am – 11pm', 'Wed': '11am – 11pm', 'Thu': '11am – 11pm', 'Fri': '11am – 11pm', 'Sat': '11am – 11pm', 'Sun': '11am – 11pm'}",False,False,False,
+91 9841851212,"Street Food, Juices",150,"2, Tondiarpet High Road, Thiruvalluvar Nagar, Anna Nagar West, Chennai","13.1813785937,80.2658862993","{'Mon': '10am – 10pm', 'Tue': '10am – 10pm', 'Wed': '10am – 10pm', 'Thu': '10am – 10pm', 'Fri': '10am – 10pm', 'Sat': '10am – 10pm', 'Sun': '10am – 10pm'}",True,False,False,
+91 9571421082,"Chinese, Fast Food",100,"Aggarwal Farm, SFS Colony, Opposite PNB, Mansarovar, Jaipur","26.8450645391,75.8084401488","{'Mon': '4:30am – 10:30pm', 'Tue': '4:30am – 10:30pm', 'Wed': '4:30am – 10:30pm', 'Thu': '4:30am – 10:30pm', 'Fri': '4:30am – 10:30pm', 'Sat': '4:30am – 10:30pm', 'Sun': '4:30am – 10:30pm'}",False,False,False,
+91 9538930930 0413 4900580,Ice Cream,150,"4, Iyyanar Kovil Street, Ellaipillaichavady, Near Eden Garden, Behind HDFC Bank, Gandhinagar, Puducherry","11.9336696194,79.8071739078","{'Mon': '11am – 10:30pm', 'Tue': '11am – 10:30pm', 'Wed': '11am – 10:30pm', 'Thu': '11am – 10:30pm', 'Fri': '11am – 10:30pm', 'Sat': '11am – 10:30pm', 'Sun': '11am – 10:30pm'}",True,False,False,
Not Available,South Indian,250,"Panagal Road, Shenoy Nagar, Sathamangalam, Madurai","9.9271613844,78.1325112283","{'Mon': '6am – 10pm', 'Tue': '6am – 10pm', 'Wed': '6am – 10pm', 'Thu': '6am – 10pm', 'Fri': '6am – 10pm', 'Sat': '6am – 10pm', 'Sun': '6am – 10pm'}",False,False,False,
+91 9900999666 +91 9986004607,"Ice Cream, Desserts, Beverages",200,"239, G-4, SNS Chambers, Mass Business World, Sadashiv Nagar, Bangalore","13.0039520854,77.5835642964","{'Mon': '11am – 11pm', 'Tue': '11am – 11pm', 'Wed': '11am – 11pm', 'Thu': '11am – 11pm', 'Fri': '11am – 11pm', 'Sat': '11am – 11pm', 'Sun': '11am – 11pm'}",True,False,False,
+91 8983774193,0,0,"Amravati Old Bypass Road, Badnera, Amravati - 444701, Juni Basti, Amravati","20.8642011000,77.7472404000","{'Mon': '11am – 12midnight', 'Tue': '11am – 12midnight', 'Wed': '11am – 12midnight', 'Thu': '11am – 12midnight', 'Fri': '11am – 12midnight', 'Sat': '11am – 12midnight', 'Sun': '11am – 12midnight'}",False,False,False,
044 42183228,"Beverages, Juices",200,"101/102, Star Tower, New Aavadi Road, Kilpauk, Chennai","13.0843429364,80.2339700237","{'Mon': '7am – 10pm', 'Tue': '7am – 10pm', 'Wed': '7am – 10pm', 'Thu': '7am – 10pm', 'Fri': '7am – 10pm', 'Sat': '7am – 10pm', 'Sun': '7am – 10pm'}",False,False,False,
+91 9738476487,"North Indian, Chinese, Biryani",500,"26/2, Marathahalli Ring Road, Near Eco Space, Bellandur, Bangalore","12.9248119163,77.6747919247","{'Mon': '11am – 11pm', 'Tue': '11am – 11pm', 'Wed': '11am – 11pm', 'Thu': '11am – 11pm', 'Fri': '11am – 11pm', 'Sat': '11am – 11pm', 'Sun': '11am – 11pm'}",False,False,False,
011 40047272,"Pizza, Fast Food",500,"H1,Shop 7,Main Rajouri Garden Market, Rajouri Garden, New Delhi","28.6421496398,77.1231865883","{'Mon': '10:30am – 12midnight', 'Tue': '10:30am – 12midnight', 'Wed': '10:30am – 12midnight', 'Thu': '10:30am – 12midnight', 'Fri': '10:30am – 12midnight', 'Sat': '10:30am – 12midnight', 'Sun': '10:30am – 12midnight'}",True,False,False,"Pasta , Peri Peri Veg Pizza , Corn Pizza , Chicken Tikka , Cheesy Garlic Bread , Pepperoni Pizza , Margherita Pizza"
+91 9482506513,"Juices, Beverages, Desserts",200,"MC Road, Perumbavoor, Kochi","10.1133452000,76.4789864000","{'Mon': '11am – 11pm', 'Tue': '11am – 11pm', 'Wed': '11am – 11pm', 'Thu': '11am – 11pm', 'Fri': '11am – 11pm', 'Sat': '11am – 11pm', 'Sun': '11am – 11pm'}",True,False,False,
+91 8910252995,"North Indian, Chinese, Fast Food",300,"146, Dhalua Main Road, Near Netaji Subhash Engineering College, Police Para, Garia, Kolkata","0.0000000000,0.0000000000","{'Mon': '12noon – 10pm', 'Tue': '12noon – 10pm', 'Wed': '12noon – 10pm', 'Thu': '12noon – 10pm', 'Fri': '12noon – 10pm', 'Sat': '12noon – 10pm', 'Sun': '12noon – 10pm'}",False,False,False,
+91 9826118918,"Mithai, Street Food",500,"Sadar Main Rd, Sadar, Jabalpur, Madhya Pradesh 482001","23.1541744000,79.9451114000","{'Mon': '11am – 10:30pm', 'Tue': '11am – 10:30pm', 'Wed': '11am – 10:30pm', 'Thu': '11am – 10:30pm', 'Fri': '11am – 10:30pm', 'Sat': '11am – 10:30pm', 'Sun': '11am – 10:30pm'}",True,False,False,
+91 9971489481,North Indian,100,"Village Bronda, Near Ramlila Maidan, Knowledge Park, Greater Noida","0.0000000000,0.0000000000","{'Mon': '11am – 5pm', 'Tue': '11am – 5pm', 'Wed': '11am – 5pm', 'Thu': '11am – 5pm', 'Fri': '11am – 5pm', 'Sat': '11am – 5pm', 'Sun': '11am – 5pm'}",False,False,False,
+91 9618481818,"Arabian, South Indian, North Indian",500,"Mahatma Gandhi Inner Ring Road, Amaravathi Road, Guntur","16.3295068229,80.4467255250","{'Mon': '11:30am – 11pm', 'Tue': '11:30am – 11pm', 'Wed': '11:30am – 11pm', 'Thu': '11:30am – 11pm', 'Fri': '11:30am – 11pm', 'Sat': '11:30am – 11pm', 'Sun': '11:30am – 11pm'}",False,False,False,
+91 9902118522 +91 7353334446,"Fast Food, Desserts, Beverages",350,"40, Dispensary Road, Tasker Town, Commercial Street, Bangalore","12.9817160905,77.6077561453","{'Mon': '10am – 11pm', 'Tue': '10am – 11pm', 'Wed': '10am – 11pm', 'Thu': '10am – 11pm', 'Fri': '10am – 11pm', 'Sat': '10am – 11pm', 'Sun': '10am – 11pm'}",True,False,False,
+91 8297177105,Chinese,200,"Near Sbi Bank, Vijayapuri Colony Phase 2, Saheb Nagar, Vanasthalipuram, Hyderabad","0.0000000000,0.0000000000","{'Mon': '11am – 12midnight', 'Tue': '11am – 12midnight', 'Wed': '11am – 12midnight', 'Thu': '11am – 12midnight', 'Fri': '11am – 12midnight', 'Sat': '11am – 12midnight', 'Sun': '11am – 12midnight'}",False,False,False,
0124 4267655,"Raw Meats, Fast Food",400,"Shop 32, Ground Floor, Global Foyer Mall, Palam Vihar, Gurgaon","28.5115445548,77.0407116786","{'Mon': '11am – 10pm', 'Tue': '11am – 10pm', 'Wed': '11am – 10pm', 'Thu': '11am – 10pm', 'Fri': '11am – 10pm', 'Sat': '11am – 10pm', 'Sun': '11am – 10pm'}",True,False,False,
+91 8096262999,"South Indian, Biryani",500,"K-Street, Beside Chaitanya Eye Hospital, Labbipet, Vijayawada","16.5056808951,80.6486472487","{'Mon': '11am – 11pm', 'Tue': '11am – 11pm', 'Wed': '11am – 11pm', 'Thu': '11am – 11pm', 'Fri': '11am – 11pm', 'Sat': '11am – 11pm', 'Sun': '11am – 11pm'}",True,False,False,
+91 7569862914,Desserts,400,"C-2, Tejas Dream Plaza, Defence Colony, Sainikpuri Main Road, Sainikpuri, Secunderabad","17.4874307000,78.5432241000","{'Mon': '10:30am – 12midnight', 'Tue': '10:30am – 12midnight', 'Wed': '10:30am – 12midnight', 'Thu': '10:30am – 12midnight', 'Fri': '10:30am – 12midnight', 'Sat': '10:30am – 12midnight', 'Sun': '10:30am – 12midnight'}",False,False,False,
+91 6386582711,Momos,150,"Topkhana, Sadar Bazar, Cantt, Jhansi","25.4379087118,78.5821520537","{'Mon': '6pm – 9:30pm', 'Tue': '6pm – 9:30pm', 'Wed': '6pm – 9:30pm', 'Thu': '6pm – 9:30pm', 'Fri': '6pm – 9:30pm', 'Sat': '6pm – 9:30pm', 'Sun': '6pm – 9:30pm'}",False,False,False,
