name,city,area,rating,rating_count,cusine,cost_for_two,online_order,table_reservation,delivery_only
Gabbar's Bar & Kitchen,Kolkata,Camac Street Area,4.3,2828,"North Indian, Chinese, Mexican, Italian",300.0,False,True,False
PIND BALLUCHI,Delhi NCR,Netaji Subhash Place,3.5,499,"North Indian, Mughlai, Kebab",1000.0,True,True,False
Lailas,Delhi NCR,Zakir Nagar,0.0,0,Biryani,200.0,False,False,False
Countryside Bakery,Raipur,Amanaka,3.3,0,"North Indian, Biryani, Chinese, Beverages, Desserts",600.0,False,False,False
Kailash Bhojanalaya,Udaipur,City Centre,0.0,0,North Indian,200.0,False,False,False
The Belgian Waffle Co.,Pune,Viman Nagar,3.7,46,"Desserts, Beverages",300.0,False,False,False
Amruta,Bengaluru,Majestic,3.8,21,"South Indian, North Indian, Chinese",600.0,False,False,False
Chacha Ki Rasoi,Bhopal,Kolar,3.3,0,"North Indian, South Indian, Chinese",500.0,False,False,False
Wow City Momos,Kolkata,"Sector 5, Salt Lake",0.0,0,"Momos, Fast Food",400.0,True,False,False
Swaad Anusaar,Raipur,Shankar Nagar,2.9,23,"North Indian, South Indian, Chinese",300.0,False,False,False
Swastik Pure Veg Restaurant,Bhopal,BHEL,4.3,598,"North Indian, Biryani, Chinese",300.0,True,False,False
Northam Pizza|Subs|Bowls,Bengaluru,HSR,3.3,0,Pizza,500.0,False,False,False
The Gazebo Cafe And Bistro,Nagpur,Hingna T Point,3.8,116,North Indian,500.0,True,False,False
Hotel Meena,Mumbai,Santacruz East,2.8,15,"North Indian, Mughlai, Chinese",600.0,False,False,False
KGN Kalyani Hotel,Hyderabad,Moosapet,3.0,37,Biryani,100.0,False,False,False
Subway,Ahmedabad,Navrangpura,3.7,130,"Healthy Food, Sandwich, Salad",500.0,True,False,False
Malik Sweets,Delhi NCR,Malviya Nagar,2.9,7,Mithai,250.0,False,False,False
Kumawat Juice Center,Indore,Airport Road,3.3,0,"Beverages, Juices, Fast Food",250.0,False,False,False
Goli Vada Pav No. 1,Bengaluru,Ulsoor,3.6,39,Street Food,200.0,True,False,False
VINO Restaurant,Kanpur,Kidwai Nagar,3.4,16,"North Indian, Chinese, Continental, Desserts, Beverages",300.0,True,False,False
Chakkhna : Beyond Peanuts,Delhi NCR,Sector 49,4.0,690,"North Indian, Biryani, Mughlai, Kebab",650.0,True,False,False
Knight Shack Restaurant And Cafe,Jodhpur,Sardarpura,2.9,4,Fast Food,250.0,False,False,False
Dhamaal Gaddi,Delhi NCR,Indirapuram,3.8,146,"North Indian, Biryani, Mughlai, Beverages",500.0,True,False,False
Cafeteria,Lucknow,Indira Nagar,0.0,0,"Fast Food, Beverages",100.0,False,False,False
Parleshwar Vada Pav Samrat,Mumbai,Malad West,3.3,14,"Street Food, Maharashtrian",100.0,False,False,False
New Gyani Ji Ka Dhaba,Lucknow,Alambagh,4.0,484,North Indian,500.0,False,False,False
Shawarma Delicious,Pune,Kharadi,0.0,0,Rolls,400.0,True,False,False
Zaika4u,Delhi NCR,"MG Road, Gurgaon",3.6,45,"North Indian, Chinese",250.0,True,False,False
Sanjar Chicken Biryani,Vadodara,Alkapuri,2.9,4,Biryani,300.0,False,False,False
Shawarma Inc,Bengaluru,Brigade Road,3.2,46,"Lebanese, Momos",300.0,True,False,False
SeasoningMoments,Pune,Hadapsar,3.3,16,Fast Food,200.0,False,False,False
Bombay Broasts,Mumbai,Azad Nagar,3.7,42,"Fast Food, Burger, Pizza, Sandwich, Rolls",400.0,True,False,False
CLUB REGIO By Asteria,Jaipur,Tonk Road,3.3,13,"Finger Food, Italian, Continental, Chinese",300.0,False,False,False
Farmer Boy,Kolkata,Behala,3.3,0,"North Indian, Chinese",400.0,True,False,False
The Jailers Kitchen,Nagpur,Gandhibagh,3.3,0,North Indian,300.0,True,False,True
Chatar Patar,Ranchi,Harmu,3.8,79,Fast Food,300.0,True,False,False
Dumplings Hood cafe,Ludhiana,Sarabha Nagar,3.8,53,"Cafe, Continental, Fast Food",500.0,True,False,False
Chicken Sukhija,Ludhiana,Dugri,3.8,79,Mughlai,300.0,True,False,False
Moms Parantha,Chandigarh,Ambala Road,2.9,5,North Indian,100.0,False,False,True
Jui's Chill & Grill,Pune,Chandan Nagar,3.2,11,"South Indian, North Indian, Fast Food, Biryani, Beverages",450.0,False,False,False
Biryani Blues,Delhi NCR,"Sector 50, Noida",3.9,951,"Biryani, Hyderabadi",700.0,True,False,False
Ignia,Goa,Margao,4.3,199,"American, Steak, Seafood",900.0,False,False,False
Bay Bay's,Kolkata,Ballygunge,3.8,115,"Continental, Seafood, Asian, North Indian",800.0,True,False,False
On Toes,Mumbai,Veera Desai Area,4.5,109,"North Indian, Italian, Chinese",1500.0,True,False,False
The Hobbit Cafe,Patiala,Model Town,3.3,0,Cafe,500.0,True,False,False
Bowl Nation,Bengaluru,Koramangala 1st Block,0.0,0,"North Indian, Chinese, Biryani",300.0,True,False,False
Milano Pizza By Doodles Cakes,Delhi NCR,Kapashera,3.3,13,"Fast Food, Bakery",450.0,True,False,False
Vadapav Mistri,Jaipur,Mansarovar,3.4,27,Fast Food,200.0,True,False,False
Fusion Dhaba,Mumbai,"Wagle Estate, Thane West",3.9,1067,"Asian, North Indian, Mughlai",300.0,True,True,False
Janta Bakers,Dehradun,Majra,2.7,8,Bakery,200.0,False,False,False
Crazy 4 Cakes,Kolkata,Park Circus Area,3.0,4,Bakery,200.0,False,False,False
The ThickShake Factory,Hyderabad,S R Nagar,3.7,196,"Beverages, Desserts",300.0,True,False,False
Wok N Soy,Hyderabad,Kukatpally,0.0,0,Chinese,500.0,False,False,False
City Nuts,Jaipur,Shyam Nagar,3.3,0,"North Indian, Healthy Food, Chinese",500.0,True,False,False
Momo Vihar,Patna,Rukanpura,3.3,18,Street Food,150.0,False,False,False
Alfresco,Indore,Rau,3.6,159,"North Indian, Chinese, Fast Food",500.0,True,False,False
